SampleAC1	SampleAC2	SampleAC3	SampleAC4	SampleAD1	SampleAD2	SampleAD3	SampleAD4	SampleBC1	SampleBC2	SampleBC3	SampleBC4	SampleBD1	SampleBD2	SampleBD3	SampleBD4
ENSG00000198727.2	3820.8	1606.26	1266.21	2381.06	2383.19	2559.94	653.457	1581.26	1318.05	1812.44	1426.85	2255.28	2359.91	2348.72	1556.65	2108.64
ENSG00000198786.2	1748.96	789.763	547.82	1143.22	1004.91	1282.58	240.071	874.166	469.968	607.477	624.898	962.357	1097.9	1140.2	625.395	1019.66
ENSG00000198886.2	4979.14	2485.25	1730.41	3589.02	3097.59	3689.63	1017.5	2343.72	1810.13	2724.51	2061.37	3290.33	3141.46	3743.25	2174.45	2753.91
ENSG00000228253.1	9888.84	5030.62	4446.4	6845.55	5973.15	6787.27	2326.67	4778.86	2839.24	4672.09	4489.46	5034.37	5907.37	6578.4	4255.99	4952.76
ENSG00000198804.2	6691.02	3511.92	2847.48	5324.07	4650.19	5414.59	1410.84	3802.24	2428.18	3234.62	3059.19	4224.34	4527.43	5331.71	3867.56	4003.52
ENSG00000198763.3	3816.43	1997.03	1632.06	3179	2629.44	3242.3	836.697	2047.84	1493.04	2256.61	2192.23	2667.28	2988.46	2911.06	1464.62	2567.29
ENSG00000198888.2	5283.11	2562.54	1852.47	3674.88	3048.37	3319.44	1041.06	2618.67	1706.1	2814.32	2819.31	3554.34	3673.33	3836.42	1968.17	3378.76
ENSG00000172288.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187191.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188120.14	0	0	0	0	0	0	0	0	0	0	0	0.39471	0	0	0	0
ENSG00000183753.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169789.10	0	0	0	0	0	0	2.68044	0	0.732171	0	0	0	0	0	0	0
ENSG00000226941.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169807.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000242389.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234414.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000012817.15	0	0	0	19.631	18.9274	13.4065	35.7489	17.3219	11.1392	14.4136	9.16823	10.5881	0	0	0	0
ENSG00000286265.1	0	0	0	2.78714	4.51434	0	2.30262	0	0	0	0	0	0	0	0	0
ENSG00000169953.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000172468.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000182415.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000129873.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000165246.14	0	0	0	0.113933	0.239558	0	0.742108	0.132764	0	0.124641	0	0	0	0	0	0
ENSG00000129862.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000129864.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000183878.15	0	0.221496	0	6.12049	9.11535	6.98762	10.3931	5.74069	4.18628	6.30377	6.83924	6.64458	0	0	0	0.203849
ENSG00000238074.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229549.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233803.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000099725.14	0	0	0	2.71844	8.09633	5.95577	21.201	5.89427	4.9974	4.56958	0.961021	5.30142	0	0	0	0
ENSG00000092377.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000168757.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000099715.14	4.75122	2.89436	4.2605	2.27841	3.43751	3.69534	3.30171	2.66585	1.04582	1.78975	2.4518	1.77566	1.76918	3.16788	1.74232	0.553845
ENSG00000129824.16	1.07284	1.26734	1.22263	225.944	243.341	225.845	341.899	221.109	82.1382	152.937	90.516	105.704	0	1.15702	0	0
ENSG00000184895.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000124334.17	5.6421	2.11712	3.29535	3.61134	2.65343	1.84586	5.86817	0.74477	2.47647	0.677574	1.75258	1.88224	1.62325	0	1.60469	1.53449
ENSG00000124333.16	19.396	12.4184	20.1101	18.6972	28.4371	16.7681	33.4264	22.1821	12.0826	19.1669	14.6849	12.2264	12.2027	15.9111	28.4523	13.7741
ENSG00000185973.11	4.80311	7.33998	3.93274	2.34192	9.81252	6.05135	14.4047	9.55414	3.83533	7.03967	9.46968	6.54992	2.13969	5.02127	5.33079	3.35916
ENSG00000277858.2	0	1.99995	1.92235	0	3.12907	2.11887	0	3.59485	3.9564	1.60782	2.03319	2.24752	0	0	0	0
ENSG00000155962.13	5.12579	1.25836	4.26855	0.908467	2.46206	1.65661	5.09852	1.4048	1.55784	3.58264	1.61205	1.06583	1.20559	0.855823	4.87761	2.02678
ENSG00000185515.14	14.8078	6.21495	11.8588	5.88645	9.84403	7.47746	19.1482	9.26904	4.48837	5.84223	6.6833	9.81795	3.29079	3.1147	5.2509	3.65629
