SampleAC1	SampleAC2	SampleAC3	SampleAC4	SampleAD1	SampleAD2	SampleAD3	SampleAD4	SampleBC1	SampleBC2	SampleBC3	SampleBC4	SampleBD1	SampleBD2	SampleBD3	SampleBD4
ENSG00000198727.2	2309.05	327.214	585.082	613.237	1486.49	1058.23	474.457	738.123	287.037	769.644	364.429	634.482	491.698	572.274	497.498	443.597
ENSG00000198786.2	981.046	156.618	245.12	283.622	592.363	510.018	163.489	396.674	100.562	238.745	153.288	257.518	210.104	267.054	193.74	201.499
ENSG00000198886.2	2966.34	511.195	791.253	931.404	1899.32	1506.66	710.62	1084	395.384	1152.58	515.762	909.224	631.869	901.031	693.988	568.566
ENSG00000228253.1	9628.51	1845.06	3738.53	2920.56	6238.54	4693.95	2455.65	3485.27	994.03	3143.77	1823.2	2176.35	1894.32	2704.14	2213.88	1680.5
ENSG00000198804.2	4272.03	755.453	1373.24	1458.71	3093.98	2355.64	1043.26	1872.76	545.73	1413	804.404	1223.64	941.562	1373.25	1320.45	856.594
ENSG00000198763.3	2293.58	404.193	763.945	844.175	1650.72	1342.84	595.331	966.597	321.806	951.64	569.103	739.248	614.132	717.244	458.968	533.031
ENSG00000198888.2	3289.4	533.929	893.132	960.933	1961.61	1407.01	737.382	1275.33	375.324	1200.38	716.524	1007	769.194	944.381	653.814	712.181
ENSG00000172288.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187191.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188120.14	0	0	0	0	0	0	0	0	0	0	0	0.095537	0	0	0	0
ENSG00000183753.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169789.10	0	0	0	0	0	0	1.35075	0	0.278003	0	0	0	0	0	0	0
ENSG00000226941.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169807.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000242389.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234414.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000012817.15	0	0	0	4.67467	11.3916	5.28194	24.2562	8.07853	2.32281	5.86629	2.47695	4.56454	0	0	0	0
ENSG00000286265.1	0	0	0	0.662529	2.56555	0	1.57543	0	0	0	0	0	0	0	0	0
ENSG00000169953.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000172468.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000182415.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000129873.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000165246.14	0	0	0	0.024912	0.186338	0	0.459173	0.05159	0	0.090527	0	0	0	0	0	0
ENSG00000129862.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000129864.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000183878.15	0	0.080427	0	1.73834	5.7166	2.69322	7.21216	2.49679	0.898822	2.29976	1.84298	1.86873	0	0	0	0.03613
ENSG00000238074.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229549.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233803.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000099725.14	0	0	0	0.607574	3.91172	3.91578	14.9224	2.0084	0.888261	1.98778	0.223242	0.784459	0	0	0	0
ENSG00000092377.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000168757.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000099715.14	2.32388	0.457387	1.872	0.716715	2.08019	1.61585	1.60088	1.02132	0.344301	0.738752	0.518993	0.283285	0.358835	0.470648	0.650069	0.187533
ENSG00000129824.16	0.541227	0.237171	0.530989	56.7479	146.234	86.3366	247.615	103.755	15.2234	60.0215	18.7307	28.1169	0	0.240511	0	0
ENSG00000184895.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000124334.17	3.46273	0.3866	1.20138	0.884338	1.89705	0.490376	3.22205	0.291623	0.388533	0.372351	0.410053	0.45655	0.285393	0	0.345775	0.273293
ENSG00000124333.16	10.9878	3.72175	9.9896	4.78372	17.9399	6.62866	26.6297	9.77169	2.74964	7.28264	3.2685	3.21729	3.04792	4.00432	9.34793	2.65545
ENSG00000185973.11	2.67716	1.61933	1.72553	0.598758	5.39984	1.84042	10.8392	4.31046	0.83449	3.90386	1.22603	1.58288	0.407335	1.57459	2.63997	0.595092
ENSG00000277858.2	0	0.383115	0.858731	0	3.44398	0.788345	0	1.47653	0.777536	0.622134	0.979947	0.574493	0	0	0	0
ENSG00000155962.13	3.62093	0.286335	2.17459	0.266234	1.1548	2.09871	3.14159	0.658153	0.292521	1.12119	1.26772	0.085898	0.158469	0.173763	1.03886	0.411489
ENSG00000185515.14	9.50911	1.94852	4.63881	1.79388	5.49499	2.63694	15.4788	4.9283	0.880556	2.13288	1.89507	3.44819	0.681563	0.86231	1.65323	0.69934
ENSG00000288258.1	0	0	0	0	3.81172	0	0	0	0	0	0	0	0	0	0	2.5362
ENSG00000165775.18	11.9513	8.54637	12.9049	7.45307	21.1995	12.8965	23.8439	16.0608	5.84101	7.42056	3.83632	6.42	3.6485	2.90075	7.27777	8.04814
ENSG00000274183.2	0	0	0	0	0	1.59232	0	0	0	0	0	0	0	0.393646	0	0.346077
ENSG00000185010.15	2.9059	0.172017	1.53694	0.399853	1.22464	0.585386	1.74095	0.548109	0.585777	0.654848	0.367373	0.516036	0.211558	0.579938	0.694626	0.528968
ENSG00000130830.15	45.8836	38.0235	74.7287	22.8118	69.3563	43.853	47.11	56.3051	53.3955	90.7771	58.5	50.4906	45.9301	38.1301	57.0894	32.1503
ENSG00000130826.18	12.4905	2.91526	9.16153	4.01278	13.9531	7.68331	15.9256	8.20828	1.90714	3.33457	2.11779	2.75453	1.91976	2.66238	5.56202	0.965656
ENSG00000160219.12	17.0463	1.76955	9.41814	5.78707	13.6666	6.24284	19.4738	9.63676	2.97796	6.93459	3.54332	3.36613	2.34981	2.92895	5.00957	1.64493
ENSG00000126890.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268651.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269335.5	34.4338	5.4465	14.9623	9.18529	31.9124	15.0591	33.4279	21.3247	7.76681	16.702	13.2073	10.2379	6.33761	8.7337	12.6416	4.76821
ENSG00000160211.19	60.9239	8.59187	43.5494	16.5609	99.5639	46.7246	61.09	64.5484	22.2511	64.8674	33.7311	36.0083	20.3325	35.4683	39.2893	17.4783
ENSG00000071889.16	19.2774	8.34196	15.4595	5.37936	25.1948	10.946	17.6658	13.4112	4.12048	9.43583	3.57879	3.93869	1.58989	2.79747	4.28965	4.99795
ENSG00000102178.13	17.4714	3.13761	11.0979	5.77376	15.9658	7.60923	22.2902	10.5192	2.43846	13.9383	2.84778	4.31411	2.53241	2.77708	7.02873	2.34812
ENSG00000130827.6	4.13413	0.963294	1.65832	1.06485	1.59707	1.71483	3.99247	1.75026	0.394014	0.866321	0.27986	0.670621	0.600025	0.691449	0.678956	0.194679
ENSG00000102125.16	31.6977	6.48119	26.8328	14.6362	22.6865	18.4033	50.8326	18.6195	8.50035	16.5461	8.72259	4.29077	4.3123	9.92658	14.1279	3.70221
ENSG00000013563.14	14.0993	3.07793	9.95252	5.98813	18.8977	8.62584	23.2621	12.4418	4.5471	9.71974	3.98784	5.72004	2.60548	3.43982	8.73155	1.36963
ENSG00000102119.11	37.8608	7.39851	18.1161	7.59478	28.1371	23.0219	30.68	19.9665	4.95887	11.0263	11.06	11.3179	6.02822	6.76065	6.5375	4.9732
ENSG00000196924.18	246.164	33.3425	101.691	46.5855	186.018	99.811	161.451	84.6525	27.911	93.051	34.4786	50.4229	49.8655	62.9595	80.5601	18.2152
ENSG00000278057.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269433.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000166160.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268221.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000102076.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177854.8	3.83655	1.7253	1.25552	3.34887	3.29946	0.689051	4.34294	2.15426	0.687787	1.46516	0.719539	1.17952	0.414521	1.70564	0.851214	0.50401
ENSG00000172534.14	14.4967	2.21588	5.83346	2.97114	8.02503	6.20296	10.6467	6.24854	1.63899	4.36731	1.54193	3.11009	2.09352	3.6974	3.38439	1.48531
ENSG00000102030.16	34.299	5.59924	18.2066	9.19787	24.0927	10.9159	30.2946	18.6652	3.88041	14.2488	5.63271	8.18441	5.53362	5.31407	8.03378	6.04264
ENSG00000284987.1	0	0	0	0	0	0	0	0	0	0.834756	0	0	0	0	0	0
ENSG00000067840.12	5.88441	2.31687	6.23588	4.15954	3.51942	3.9907	14.858	3.33595	0.485604	2.34075	1.44072	0.831498	1.42438	2.01199	0.650516	0.487623
ENSG00000067829.19	46.904	7.19044	30.0181	10.8824	33.7126	22.1664	38.7834	23.6958	7.35547	15.6294	9.23777	13.0633	6.82988	9.1711	16.5264	6.63498
ENSG00000101986.12	10.5847	1.07534	5.42545	2.77586	8.92562	3.00757	9.67641	5.42863	2.72253	5.58947	2.50093	2.09085	1.50615	3.18812	4.01857	1.63767
ENSG00000130822.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000262919.8	10.7023	2.01417	7.8243	4.17927	13.9073	8.02639	23.3045	10.4366	2.17209	3.14043	3.78742	2.93444	1.41687	2.72959	3.05342	1.68626
ENSG00000213397.10	14.8986	2.77014	5.22334	3.11961	11.062	8.98902	16.7935	8.88042	1.58742	2.76598	3.45621	1.85012	1.00623	1.53367	2.72083	0
ENSG00000189420.8	0.423733	0.093206	0.416201	0.21668	0.417484	0.237688	0.964486	0.178402	0.166751	0.41837	0.059727	0.174752	0.021492	0.259114	0.246876	0.083764
ENSG00000214897.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225110.3	0	0	0	0	0	0	0.123392	0	0	0	0	0	0	0	0	0
ENSG00000278803.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235961.6	0.931887	0.06827	0.152517	0.238033	0.458961	0	0	0	0	0	0	0	0.062974	0.138122	0.206795	0.122615
ENSG00000183837.9	4.22046	1.25271	1.1538	0.796701	0.810862	0.57605	1.42047	0.930038	0.466509	0.843128	0.051671	0.210539	0.31733	0.244623	0.366252	0.378285
ENSG00000198883.12	0	0	0	0	0	0	0.262307	0	0	0	0	0.071277	0	0	0.071948	0
ENSG00000147383.11	4.46186	0.427822	3.71064	0.497192	4.03988	1.20193	6.61449	3.11179	0.400168	1.95368	1.35781	1.76415	0.632881	1.38524	2.20358	0.921782
ENSG00000213401.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198930.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000183305.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000221867.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011677.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000124260.12	0.128692	0	0	0	0.126771	0.230925	0.156173	0	0	0.09097	0.072615	0.086624	0.058628	0.171677	0.25735	0.050782
ENSG00000102287.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000147381.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000183862.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000130032.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160131.13	5.41133	1.12948	3.20259	1.34788	6.08317	3.17566	9.00951	2.68765	0.592664	2.73929	0.743071	1.37317	0.956982	1.11069	2.17107	0.594872
ENSG00000102181.21	8.93149	1.79904	6.63359	3.57567	10.1143	4.77523	11.7155	9.7494	2.22319	6.11061	1.73584	2.77051	1.7701	1.99224	4.81851	1.54874
ENSG00000123584.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171116.7	0	0.15826	0	0.091963	0.442592	0	0	0	0	0.774395	0.202774	0	0.072993	0.560415	0.479456	0.142093
ENSG00000268738.3	1.07847	0	1.05898	0	0.44338	0.645512	2.83501	0.302756	0.080663	0	0	0	0	0	0	0
ENSG00000267978.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283697.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197620.11	15.0077	2.27842	11.1742	4.20446	9.65498	4.02568	14.3587	6.08397	1.10196	4.21683	1.77325	1.97864	3.03506	2.18491	3.86808	1.24976
ENSG00000241489.8	5.39244	0.407794	1.2588	1.93587	2.36086	2.19174	9.33626	1.07417	0.986488	0.623759	0.521201	0.48173	0.170826	1.48976	0.597319	0.279323
ENSG00000010404.18	37.7481	5.72616	35.5726	11.7546	73.599	20.197	86.2889	39.8102	13.7256	28.3767	23.0225	18.6509	13.5958	15.3665	17.3751	10.2035
ENSG00000155966.14	0.154852	0	0.177461	0.039603	1.11583	0.202134	0.167582	0.073972	0.046451	0.214835	0.154334	0.055191	0.035648	0.034435	0.029248	0.052106
ENSG00000102081.15	11.9881	1.66877	6.20309	3.40029	13.5514	26.1627	20.5647	7.95222	2.14854	2.97251	3.39617	3.51739	2.46612	2.38308	2.64472	0.873164
ENSG00000185985.10	0	0	0	0	0	0.075036	0	0.0704	0	0	0	0	0	0	0	0
ENSG00000203923.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000046774.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155495.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000203926.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198573.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000134595.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000101974.14	2.58173	0.49738	2.40655	1.05058	3.35465	0.792582	6.78962	1.22403	0.266345	1.1107	0.975601	1.11082	0.382517	0.43098	0.464236	0.148998
ENSG00000101977.21	0.260738	0.156004	0	0.061346	0.18231	0	1.38618	0.155886	0.083058	0.285067	0.112672	0	0	0.085739	0	0
ENSG00000129682.16	0.080364	0	0	0.008222	0.01609	0.043272	0.019515	0.013533	0	0.919163	0.036263	0.021218	0.2241	0.007149	0.298072	0.006358
ENSG00000156925.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000147274.14	71.5562	17.9118	47.5582	16.5537	61.7146	36.85	105.02	35.4203	6.284	31.0789	8.74094	12.8146	8.40993	10.9695	21.5888	9.08678
ENSG00000129675.16	38.28	5.70758	19.5043	8.59352	29.6553	15.7491	38.3726	18.1158	4.62506	13.7093	4.69962	8.64962	4.43261	6.45772	9.82192	4.03931
ENSG00000102239.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156920.11	0	0	0	0	0	0	0	0	0	0	0	0.021405	0	0	0	0
ENSG00000022267.19	6.32149	2.86694	2.60157	2.6566	3.47256	1.79765	7.77907	3.51458	1.22193	4.34867	2.06525	1.86469	1.60105	2.09075	1.28154	1.1975
ENSG00000198689.11	4.6269	0.995623	1.79366	0.976435	3.55898	2.38	6.1218	2.77384	0.54436	1.70326	1.25317	1.37152	0.717428	1.02408	0.800646	0.615071
ENSG00000269586.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270946.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273696.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228836.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268940.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
