SampleAC1	SampleAC2	SampleAC3	SampleAC4	SampleAD1	SampleAD2	SampleAD3	SampleAD4	SampleBC1	SampleBC2	SampleBC3	SampleBC4	SampleBD1	SampleBD2	SampleBD3	SampleBD4
ENSG00000223972.5	3	7	0	1	0	1	0	2	5	3	2	1	3	8	0	0
ENSG00000227232.5	32	11	19	13	9	11	21	38	7	15	6	6	21	12	5	4
ENSG00000278267.1	2	2	1	0	0	0	3	4	0	0	0	0	0	0	0	0
ENSG00000243485.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284332.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268020.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009.6	2	0	5	2	14	2	3	10	4	8	3	6	1	0	2	2
ENSG00000239945.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268903.1	128	15	156	42	218	64	135	222	169	203	141	105	81	140	134	64
ENSG00000269981.1	99	10	110	42	167	43	108	152	115	120	121	90	99	148	89	57
ENSG00000239906.1	2	0	0	0	2	0	5	5	1	1	0	3	0	0	1	0
ENSG00000241860.7	19	1	11	4	34	6	28	29	19	18	25	11	10	24	6	5
ENSG00000222623.1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
ENSG00000241599.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279928.2	2	1	0	1	0	0	0	0	1	1	0	2	2	5	0	0
ENSG00000279457.4	41	25	39	29	42	25	40	28	11	20	12	8	20	23	6	17
ENSG00000273874.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228463.10	6	1	10	4	21	6	8	4	5	4	3	13	2	1	8	3
ENSG00000286448.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236679.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000236601.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237094.12	38	7	48	12	78	19	69	56	46	63	68	44	36	55	36	31
ENSG00000269732.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284733.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233653.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250575.1	0	0	1	0	1	1	0	2	0	0	0	4	0	0	0	0
ENSG00000278757.1	0	0	0	0	3	0	1	0	0	1	4	4	0	0	0	0
ENSG00000230021.10	10	2	0	2	1	3	4	2	1	2	3	1	0	0	1	1
ENSG00000235146.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225972.1	57	14	13	35	34	14	17	20	11	25	5	29	14	22	16	33
ENSG00000225630.1	43	21	11	38	38	41	14	23	10	38	23	29	31	26	18	28
ENSG00000237973.1	294	116	118	212	255	196	68	195	110	163	101	151	167	179	174	175
ENSG00000278791.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000229344.1	65	20	39	50	39	53	10	41	27	64	34	42	35	51	47	39
ENSG00000240409.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000248527.1	691	296	255	444	522	384	144	286	175	382	242	306	392	525	286	342
ENSG00000198744.5	77	34	13	36	60	35	6	29	13	43	19	22	39	24	43	51
ENSG00000268663.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284662.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229376.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228327.3	61	11	50	25	93	28	69	33	80	52	42	60	25	21	42	27
ENSG00000223181.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229905.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237491.10	4	3	11	2	1	2	4	2	5	4	3	2	3	0	2	1
ENSG00000285268.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230092.7	4	2	1	0	3	0	5	0	2	0	1	0	0	0	0	1
ENSG00000177757.2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000228794.10	34	35	25	26	23	19	48	24	8	20	13	18	10	13	15	13
ENSG00000225880.5	4	1	10	0	4	0	12	2	4	2	0	1	1	0	2	1
ENSG00000288531.1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230368.2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSG00000234711.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283040.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272438.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230699.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241180.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223764.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187634.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188976.11	156	65	71	76	115	85	157	99	48	68	34	54	46	74	84	45
ENSG00000187961.14	32	18	25	23	25	15	30	29	6	19	8	9	18	20	16	10
ENSG00000187583.11	7	3	6	6	0	2	1	1	1	3	0	1	4	5	4	1
ENSG00000187642.9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000272512.1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188290.11	9	2	4	8	11	3	3	2	3	1	0	1	5	3	11	2
ENSG00000187608.10	117	16	109	25	46	26	40	45	16	18	28	25	17	168	31	84
ENSG00000231702.2	0	0	0	0	0	1	5	0	0	0	0	0	0	0	1	0
ENSG00000224969.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188157.15	14	8	16	13	1	7	14	13	2	6	3	3	3	19	2	7
ENSG00000242590.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
